track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,bpm,key,mode,danceability%,positiveness%,energy%,acousticness%,instrumentalness%,liveness%,speechness%
Love Yourself,373729,Justin Bieber,spotify:track:50kpGaPAhYJ3sGmk6vplg0,RBMG/Def Jam,84,84,-1,21,100,E,Major,61,52,38,84,0,28,44
Love poem,100224,IU,spotify:track:4B6cJ34Mkfiu4Xo8t8QU7F,Kakao Entertainment,123,123,-1,2,120,B,Major,40,27,47,74,0,11,4
"Love, Maybe",568555,MeloMance,spotify:track:2X45nVBeYzmDlrXji9Av0Q,FLEX M,125,125,-1,5,172,G#,Major,40,63,73,51,0,15,7
"Love, This",52032,LAS,spotify:track:1FaHB2AIWGiStlMh4jS6QQ,ADA Korea,138,138,-1,1,102,D#,Major,72,40,68,46,0,14,4
Lover,6500945,Taylor Swift,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,11,11,-1,49,69,G,Major,36,45,54,49,0,12,9
Lover (Remix) [feat. Shawn Mendes],195821,"Taylor Swift, Shawn Mendes",spotify:track:3i9UVldZOE0aD0JnyfAZZ0,Taylor Swift,63,63,-1,3,102.5,G,Major,45,42,60,43,0,9,6
Lover Boy,64570,Phum Viphurit,spotify:track:2rd4FH1cSaWGc0ZiUaMbX9,Rats Records,46,153,-1,29,110,B,Major,80,63,56,53,0,10,3
Lovesick Girls,7265051,BLACKPINK,spotify:track:4Ws314Ylb27BVsvlZOy30C,YG Entertainment,1,1,-1,58,128,F#,Major,65,45,71,1,0,9,7
Low Low,49785,WayV-TEN&YANGYANG,spotify:track:1TF9k6wfT1rkHnRp1AqAum,LABEL V,148,148,-1,1,91,G#,Minor,82,84,79,23,0,16,5
Lucid Dream,116788,aespa,spotify:track:285Bh5EkbxGGE76ge8JDbH,SM Entertainment,116,116,-1,2,98,B,Minor,70,15,75,5,0,7,4
Lucid Dreams,95509,Juice WRLD,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD Mixtape / ISR P&D,53,161,-1,22,84,F#,Minor,51,22,57,35,0,34,20
Lucky,1662403,Adrian Milanio,spotify:track:7MQ5qQZkeVI4eBOYEXm75v,Adrian Milanio,19,19,-1,5,64,C#,Minor,62,30,37,65,0,11,12
Lullaby,19670,GOT7,spotify:track:1aDarBap4uQgOt9k4fxWd8,Republic Records - JYP Entertainment,34,197,167,16,130,C,Major,73,71,89,1,0,11,9
Luxury,27227898,D Gerrard,spotify:track:1EOWBTE1GPKcxz3wlR08tW,WM/Thailand,15,15,-1,104,78,C#,Minor,64,35,61,70,0,35,4
M-Leg (feat. Thaiblood),624464,"Illslick, Thaiblood",spotify:track:0NyAWH9P5RNUMezxgCEsno,Bang Baht,138,138,-1,3,152,B,Major,76,42,68,53,0,14,16
MAD DOG,106242,NCT 127,spotify:track:1x60WPvUlRvUZFMaMMDGQi,SM Entertainment,64,64,-1,1,158,D,Major,64,63,85,19,0,9,37
MAESTRO,702130,SEVENTEEN,spotify:track:2UE9XGbAzicJIyo4bB6sqM,PLEDIS Entertainment,88,88,-1,3,152,E,Minor,68,59,84,8,0,15,19
MAGO,405552,GFRIEND,spotify:track:46WaBBaEHzgbN88Ew0nh50,SOURCE MUSIC,79,79,-1,6,120,F#,Minor,62,66,82,1,0,14,4
MANIAC,528685,Stray Kids,spotify:track:7BDHDiidJ8WV349p3HTxTV,Republic Records - Stray Kids,52,52,-1,6,120,C#,Major,58,71,80,15,0,7,41
ME,29579,CLC,spotify:track:7w3mCZJZbfXzNebD5vktMI,Universal Music LLC,179,179,-1,1,147,B,Minor,75,80,80,2,0,9,7
ME! (feat. Brendon Urie of Panic! At The Disco),2383847,"Taylor Swift, Brendon Urie, Panic! At The Disco",spotify:track:4MsUsFfWseB9M2plGJyuIw,Taylor Swift,2,2,-1,28,182,C,Major,61,73,83,3,0,12,6
MEGATRON,30207,Nicki Minaj,spotify:track:1ZDmxwg7Lywlx68b7SsJjj,Young Money/Cash Money Records,192,192,-1,1,94,C#,Major,89,77,64,13,0,9,27
MIDDLE CHILD,253190,J. Cole,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,"Dreamville, Inc., Under exclusive license to Roc Nation Records",77,77,-1,9,124,G#,Major,84,46,36,15,0,27,28
MILLION DOLLAR BABY,5611947,Tommy Richman,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,PULSE Records,51,51,-1,18,138,C#,Minor,85,92,70,10,0,7,4
MILLIONS,219283,WINNER,spotify:track:5wIMMlbIGCNAXnGy0ijojN,YGEX,53,75,53,9,109,G#,Major,84,82,68,4,0,7,4
MIROH,110017,Stray Kids,spotify:track:4WuKHgxdCJsaOBIh7yndty,Republic Records - Stray Kids,120,120,-1,4,126,A,Major,56,50,98,1,0,25,10
MMM,144460,TREASURE,spotify:track:256pafuFi3cF39hfB7cyY0,YG Entertainment,81,81,-1,2,80,C#,Major,76,63,72,5,0,6,9
