track_name,streams,artist_names,uri,source,peak_rank,rank,previous_rank,weeks_on_chart,clean_track_name
ขอวอน - Version 2,1367676,Somkiat,spotify:track:4UAZzP59cUp1o8ayUnVDBr,Smallroom,123,123,-1,26,ขอวอนversion2
กาลครั้งหนึ่ง (feat. ปาล์มมี่ อีฟ ปานเจริญ),50236,"Stamp, ปาล์มมี่ อีฟ ปานเจริญ",spotify:track:2jvtsWdI64fls66D8b3zhj,LOVEiS,160,160,-1,7,กาลครั้งหนึ่งfeatปาล์มมี่อีฟปานเจริญ
กีดกัน (Skyline) - From แปลรักฉันด้วยใจเธอ,13006517,Billkin,spotify:track:4D6f8Y7qiOvmFbm3TIab22,Nadao Music,2,2,-1,76,กีดกันskylinefromแปลรักฉันด้วยใจเธอ
คู่หู (feat. แก้ม วิชญาณี),113327,"D Gerrard, แก้ม วิชาญาณี",spotify:track:3PEnp5FiHVBoRba1wuEthU,WM/Thailand,90,90,-1,2,คู่หูfeatแก้มวิชญาณี
จมน้ำตา (เพลงประกอบละคร มณีพยาบาท),312220,New & Jiew,spotify:track:7lUCulivM40OIpxw1Bk3HJ,GMM Music Public Company Limited,153,153,-1,2,จมน้ำตาเพลงประกอบละครมณีพยาบาท
ขอให้เธอเจอคนเเบบเธอ,289026,"Lipta, MEAN Band",spotify:track:4kqQoQiQ4OfB0OHKIStfRg,Lipta,69,69,-1,4,ขอให้เธอเจอคนเเบบเธอ
คำมั่น (feat. Ammy The Bottom Blues),590724,"D Gerrard, Ammy The Bottom Blues",spotify:track:5L1icGhCBFN7lTPeKIIi2S,WM/Thailand,31,31,-1,4,คำมั่นfeatammythebottomblues
คิดมาก (เพลงประกอบภาพยนตร์ Friend Zone ระวัง..สิ้นสุดทางเพื่อน),185952,"Palmy, Namfon Indee, Claudia Barretto, Chi Pu, Meng Jia, Joyce Chu, Laura Mam, Audrey Tapiheru, Cantika Abigail, Phyu Phyu Kyaw Thein",spotify:track:6YVDFHYt2YSkdkbAeqnAeH,GMM Music Public Company Limited,46,46,-1,4,คิดมากเพลงประกอบภาพยนตร์friendzoneระวังสิ้นสุดทางเพื่อน
คนแบบไหน (เพลงประกอบซีรีส์ ปลาบนฟ้า),1149227,Mix Sahaphap,spotify:track:44ymejne8Roi7uT4lhiwCR,GMM Music Public Company Limited,33,33,-1,9,คนแบบไหนเพลงประกอบซีรีส์ปลาบนฟ้า
คั่นกู (เพลงประกอบซีรีส์ เพราะเราคู่กัน),5562804,BRIGHT,spotify:track:2ZGgIXaoierTsnkrDzuBzY,GMM Music Public Company Limited,7,7,-1,26,คั่นกูเพลงประกอบซีรีส์เพราะเราคู่กัน
"ข้างเธอ - From ""TharnType SS2 7 years of love""",50408,อ๊อฟ ชัยนนท์,spotify:track:1R6NyMrOvwexREG2CC1Xkk,WebTVAsia,190,190,-1,1,ข้างเธอfromtharntypess27yearsoflove
ดาว - Cover version,4794362,Pause,spotify:track:7JT0xvRdL46U36JqiCTfWS,Bakery Music,80,80,-1,82,ดาวcoverversion
ชนดิ feat. WAII,30528,"POKMINDSET, MVL",spotify:track:6moTM2aGWVzSgNo9vNw9qT,Mindset Mob,104,104,-1,1,ชนดิfeatwaii
ฉลามชอบงับคุณ Feat.IIVY B,3649127,bonnadol,spotify:track:1NEBh01Wwtak3R1eCxlwrJ,Bonnadol,11,11,-1,17,ฉลามชอบงับคุณfeatiivyb
ดูออก,913508,"MEAN Band, Milli, Pae Sax Mild, WANWANWAN",spotify:track:3LTNt6MSRwTyyOmJBQrjvG,LOVEiS Entertainment,56,56,-1,11,ดูออก
นะครับ (ได้ไหม) - Acoustic Version,693568,spsalola,spotify:track:51GuxG7BsdZ0MRR3CgbhFp,Spsalola,156,156,-1,15,นะครับได้ไหมacousticversion
นักเลงเก่า (เพลงประกอบภาพยนตร์ 4 KINGS),136975,"TaitosmitH, D Gerrard",spotify:track:0DUsZB2BO8voYAQGCGAiSq,GMM Music Public Company Limited,119,119,-1,2,นักเลงเก่าเพลงประกอบภาพยนตร์4kings
ทิ้งแต่เก็บ (เพลงประกอบภาพยนตร์ ฮาวทูทิ้ง..ทิ้งอย่างไร ไม่ให้เหลือเธอ),10560748,THE TOYS,spotify:track:438m0u7h7miwjCdCdDCl9W,GMM Music Public Company Limited,1,1,-1,69,ทิ้งแต่เก็บเพลงประกอบภาพยนตร์ฮาวทูทิ้งทิ้งอย่างไรไม่ให้เหลือเธอ
ติดกับ (เพลงประกอบซีรีส์ เพราะเราคู่กัน),719104,Max Jenmana,spotify:track:5WHldZsdqAeLx9heJ5cIQH,GMM Music Public Company Limited,68,68,-1,10,ติดกับเพลงประกอบซีรีส์เพราะเราคู่กัน
ตาแตก (feat. YinWar),348746,"MILLI, Wonderframe, YinWar",spotify:track:586o3EWhs0FXEr0tGLDxOJ,Yupp! Entertainment/88rising Music,58,58,-1,4,ตาแตกfeatyinwar
ถ้าเธอ feat. Violette Wautier,18172373,"Stamp, Violette Wautier",spotify:track:2bGK8OZkr2IH4XHFMWS3CZ,123Records,1,1,-1,76,ถ้าเธอfeatviolettewautier
